"gene","proteinSearched","EnsemblID","EntrezSummary","todaysDate","healthy_median","acuteLymeDisease_median","antibodies_1month_median","antibodies_6month_median","acuteHealthy_foldChange","antibodies_1month_healthy_foldChange","antibodies_6month_healthy_foldchange","classSample","classValue","class"
"BPI","immune","ENSG00000101425","This gene encodes a lipopolysaccharide binding protein. It is associated with human neutrophil granules and has antimicrobial activity against gram-negative organisms. [provided by RefSeq, Nov 2014]","Fri Aug 28 13:19:35 2020",29.7115086401034,273.451039273516,56.6776275636521,17.3054782402052,9.20353936199735,1.90759844106842,0.582450337673091,"healthyControl_2",44.7115086401034,"healthy"
"CA1","immune","ENSG00000133742","Carbonic anhydrases (CAs) are a large family of zinc metalloenzymes that catalyze the reversible hydration of carbon dioxide. They participate in a variety of biological processes, including respiration, calcification, acid-base balance, bone resorption, and the formation of aqueous humor, cerebrospinal fluid, saliva and gastric acid. They show extensive diversity in tissue distribution and in their subcellular localization. This CA1 gene is closely linked to the CA2 and CA3 genes on chromosome 8. It encodes a cytosolic protein that is found at the highest level in erythrocytes. Allelic variants of this gene have been described in some populations. Alternative splicing and the use of alternative promoters results in multiple transcript variants. [provided by RefSeq, Nov 2016]","Fri Aug 28 13:19:42 2020",105.080659053214,38.5757071053231,22.5868059171023,20.4342800001979,0.36710568293817,0.214947318760764,0.194462807754658,"healthyControl_2",187.580659053214,"healthy"
"CAMP","immune","ENSG00000164047","This gene encodes a member of an antimicrobial peptide family, characterized by a highly conserved N-terminal signal peptide containing a cathelin domain and a structurally variable cationic antimicrobial peptide, which is produced by extracellular proteolysis from the C-terminus. In addition to its antibacterial, antifungal, and antiviral activities, the encoded protein functions in cell chemotaxis, immune mediator induction, and inflammatory response regulation. [provided by RefSeq, Sep 2014]","Fri Aug 28 13:19:36 2020",40.3954819441925,348.86747832614,32.9651568740683,27.1265747446885,8.63629944576748,0.81606049210183,0.671524968613189,"healthyControl_2",61.3954819441925,"healthy"
"CCDC144A","immune","ENSG00000170160","                                            CCDC144A (Coiled-Coil Domain Containing 144A) is a Protein Coding gene.                                            Diseases associated with CCDC144A include Smith-Magenis Syndrome.                                                                                                                                    An important paralog of this gene is ENSG00000266302.","Fri Aug 28 13:23:43 2020",18.8522331288936,82.886882152502,44.8248504604198,56.995183490276,4.39666121174083,2.37769447014315,3.02325900070285,"healthyControl_2",27.8522331288936,"healthy"
"CEACAM8","immune","ENSG00000124469","                                            CEACAM8 (CEA Cell Adhesion Molecule 8) is a Protein Coding gene.                                            Diseases associated with CEACAM8 include Hemoglobinuria and Paroxysmal Nocturnal Hemoglobinuria.                                            Among its related pathways are Degradation of the extracellular matrix and Cell surface interactions at the vascular wall.                                                                                        An important paralog of this gene is CEACAM6.","Fri Aug 28 13:19:32 2020",37.9941074097645,592.599344767724,71.5135835199946,26.8158108041442,15.5971382187393,1.88222828210502,0.705788677042392,"healthyControl_2",59.9941074097645,"healthy"
"CTSG","immune","ENSG00000100448","The protein encoded by this gene, a member of the peptidase S1 protein family, is found in azurophil granules of neutrophilic polymorphonuclear leukocytes. The encoded protease has a specificity similar to that of chymotrypsin C, and may participate in the killing and digestion of engulfed pathogens, and in connective tissue remodeling at sites of inflammation. In addition, the encoded protein is antimicrobial, with bacteriocidal activity against S. aureus and N. gonorrhoeae. Transcript variants utilizing alternative polyadenylation signals exist for this gene. [provided by RefSeq, Sep 2014]","Fri Aug 28 13:19:55 2020",36.1034489069445,157.813742339237,91.876498201128,18.06881840608,4.37115420041994,2.54481222660851,0.500473471458414,"healthyControl_2",53.1034489069445,"healthy"
"CXCL2","immune","ENSG00000081041","This antimicrobial gene is part of a chemokine superfamily that encodes secreted proteins involved in immunoregulatory and inflammatory processes. The superfamily is divided into four subfamilies based on the arrangement of the N-terminal cysteine residues of the mature peptide. This chemokine, a member of the CXC subfamily, is expressed at sites of inflammation and may suppress hematopoietic progenitor cell proliferation. [provided by RefSeq, Sep 2014]","Fri Aug 28 13:19:56 2020",92.5817573843039,139.82062346317,13.344044383954,121.942970232039,1.51023946200091,0.144132545773173,1.31713821034805,"healthyControl_2",90.0817573843039,"healthy"
"DDX3Y","immune","ENSG00000067048","The protein encoded by this gene is a member of the DEAD-box RNA helicase family, characterized by nine conserved motifs, included the conserved Asp-Glu-Ala-Asp (DEAD) motif. These motifs are thought to be involved in ATP binding, hydrolysis, RNA binding, and in the formation of intramolecular interactions. This protein shares high similarity to DDX3X, on the X chromosome, but a deletion of this gene is not complemented by DDX3X. Mutations in this gene result in male infertility, a reduction in germ cell numbers, and can result in Sertoli-cell only sydrome. Pseudogenes sharing similarity to both this gene and the DDX3X paralog are found on chromosome 4 and the X chromosome. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Oct 2014]","Fri Aug 28 13:19:53 2020",31.6275107659032,172.081400953404,97.4969971941167,95.9453691405763,5.44087715998568,3.08266426389856,3.03360482115502,"healthyControl_2",15.1275107659032,"healthy"
"DEFA4","immune","ENSG00000164821","Defensins are a family of antimicrobial and cytotoxic peptides thought to be involved in host defense. They are abundant in the granules of neutrophils and also found in the epithelia of mucosal surfaces such as those of the intestine, respiratory tract, urinary tract, and vagina. Members of the defensin family are highly similar in protein sequence and distinguished by a conserved cysteine motif. Several alpha defensin genes are clustered on chromosome 8. This gene differs from other genes of this family by an extra 83-base segment that is apparently the result of a recent duplication within the coding region. The protein encoded by this gene, defensin, alpha 4, is found in the neutrophils; it exhibits corticostatic activity and inhibits corticotropin stimulated corticosterone production. [provided by RefSeq, Oct 2014]","Fri Aug 28 13:19:34 2020",41.6761231094178,523.33313169166,107.812724369006,21.0631724724207,12.5571452583938,2.58691827178721,0.505401436144163,"healthyControl_2",68.6761231094178,"healthy"
"EIF1AY","immune","ENSG00000198692","This gene is located on the non-recombining region of the Y chromosome. It encodes a protein related to eukaryotic translation initiation factor 1A (EIF1A), which may function in stabilizing the binding of the initiator Met-tRNA to 40S ribosomal subunits. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2013]","Fri Aug 28 13:19:52 2020",92.3825321617397,574.101775444175,336.257698479995,261.445845002133,6.21439748413759,3.63984067779489,2.83003549355417,"healthyControl_2",5.88253216173969,"healthy"
