"gene","proteinSearched","EnsemblID","EntrezSummary","todaysDate","healthy_Median","acuteLymeDisease_Median","antibodies_1month_Median","antibodies_6month_Median","acuteHealthy_foldChange","antibodies_1month_healthy_foldChange","antibodies_6month_healthy_foldchange","classSample","classValue","class"
"ACSBG2","protein","ENSG00000130377","                                            ACSBG2 (Acyl-CoA Synthetase Bubblegum Family Member 2) is a Protein Coding gene.                                                                                        Among its related pathways are Fatty acid biosynthesis (KEGG) and Adipocytokine signaling pathway.                                            Gene Ontology (GO) annotations related to this gene include long-chain fatty acid-CoA ligase activity and acyl-CoA hydrolase activity.                                            An important paralog of this gene is ACSBG1.","Fri Aug 28 13:19:00 2020",-0.000473,-0.37306237,0.8810699,0.9298253,788.715369978858,-1862.72706131078,-1965.80401691332,"healthyControl_2",-0.000473,"healthy"
"ANKRD54","protein","ENSG00000100124","                                            ANKRD54 (Ankyrin Repeat Domain 54) is a Protein Coding gene.                                            Diseases associated with ANKRD54 include Neurotic Excoriation and Factitious Disorder.                                                                                        Gene Ontology (GO) annotations related to this gene include protein kinase regulator activity.                                            An important paralog of this gene is ANKRD61.","Fri Aug 28 13:18:49 2020",-0.000292,0.3817067,0.59639883,-0.4561305,-1307.2147260274,-2042.46174657534,1562.09075342466,"healthyControl_2",-0.000292,"healthy"
"ATP5G3","protein","ENSG00000154518","This gene encodes a subunit of mitochondrial ATP synthase. Mitochondrial ATP synthase catalyzes ATP synthesis, utilizing an electrochemical gradient of protons across the inner membrane during oxidative phosphorylation. ATP synthase is composed of two linked multi-subunit complexes: the soluble catalytic core, F1, and the membrane-spanning component, Fo, comprising the proton channel. The catalytic portion of mitochondrial ATP synthase consists of 5 different subunits (alpha, beta, gamma, delta, and epsilon) assembled with a stoichiometry of 3 alpha, 3 beta, and a single representative of the other 3. The proton channel seems to have nine subunits (a, b, c, d, e, f, g, F6 and 8). This gene is one of three genes that encode subunit c of the proton channel. Each of the three genes have distinct mitochondrial import sequences but encode the identical mature protein. Alternatively spliced transcript variants encoding different proteins have been identified. [provided by RefSeq, Jun 2010]","Fri Aug 28 13:19:01 2020",-0.000425100000000001,-0.317964075,0.139652965,-0.92838645,747.9747706422,-328.517913432133,2183.92484121383,"healthyControl_2",-0.000425100000000001,"healthy"
"CBX3","protein","ENSG00000122565","At the nuclear envelope, the nuclear lamina and heterochromatin are adjacent to the inner nuclear membrane. The protein encoded by this gene binds DNA and is a component of heterochromatin. This protein also can bind lamin B receptor, an integral membrane protein found in the inner nuclear membrane. The dual binding functions of the encoded protein may explain the association of heterochromatin with the inner nuclear membrane. This protein binds histone H3 tails methylated at Lys-9 sites. This protein is also recruited to sites of ultraviolet-induced DNA damage and double-strand breaks. Two transcript variants encoding the same protein but differing in the 5' UTR, have been found for this gene.[provided by RefSeq, Mar 2011]","Fri Aug 28 13:18:55 2020",-0.000125,-0.03923607,-0.103360176,-0.13064718,313.88856,826.881408,1045.17744,"healthyControl_2",-0.000125,"healthy"
"CCDC15","protein","ENSG00000149548","                                            CCDC15 (Coiled-Coil Domain Containing 15) is a Protein Coding gene.                                                                                                                                                                                ","Fri Aug 28 13:18:54 2020",0.000232,-0.055081844,0.31182098,-0.014528036,-237.42174137931,1344.05594827586,-62.6208448275862,"healthyControl_2",0.000232,"healthy"
"COX7A2L","protein","ENSG00000115944","Cytochrome c oxidase (COX), the terminal component of the mitochondrial respiratory chain, catalyzes the electron transfer from reduced cytochrome c to oxygen. This component is a heteromeric complex consisting of 3 catalytic subunits encoded by mitochondrial genes and multiple structural subunits encoded by nuclear genes. The mitochondrially-encoded subunits function in electron transfer, and the nuclear-encoded subunits may function in the regulation and assembly of the complex. This nuclear gene encodes a protein similar to polypeptides 1 and 2 of subunit VIIa in the C-terminal region, and also highly similar to the mouse Sig81 protein sequence. This gene is expressed in all tissues, and upregulated in a breast cancer cell line after estrogen treatment. It is possible that this gene represents a regulatory subunit of COX and mediates the higher level of energy production in target cells by estrogen. Several transcript variants, some protein-coding and others non-protein coding, have been found for this gene. [provided by RefSeq, Jan 2016]","Fri Aug 28 13:17:16 2020",4.76835000000004e-05,0.0806181455,0.17756868,-0.219091415,1690.69270292658,3723.90197867184,-4594.70078748411,"healthyControl_2",4.76835000000004e-05,"healthy"
"CSK","protein","ENSG00000103653","The protein encoded by this gene is involved in multiple pathways, including the regulation of Src family kinases. It plays an important role in T-cell activation through its association with the protein encoded by the protein tyrosine phosphatase, non-receptor type 22 (PTPN22) gene. This protein also phosphorylates C-terminal tyrosine residues on multiple substrates, including the protein encoded by the SRC proto-oncogene, non-receptor tyrosine kinase gene. Phosphorylation suppresses the kinase activity of the Src family tyrosine kinases. An intronic polymorphism (rs34933034) in this gene has been found to affect B-cell activation and is associated with systemic lupus erythematosus (SLE). Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2017]","Fri Aug 28 13:18:57 2020",-0.000381708500000001,-0.24465871,0.47918345,-0.0780472735,640.95693441461,-1255.36489231966,204.468261775674,"healthyControl_2",-0.000381708500000001,"healthy"
"FEV","protein","ENSG00000163497","This gene belongs to the ETS transcription factor family. ETS family members have a highly conserved 85-amino acid ETS domain that binds purine-rich DNA sequences. The alanine-rich C-terminus of this gene indicates that it may act as a transcription repressor. This gene is exclusively expressed in neurons of the central serotonin (5-HT) system, a system implicated in the pathogeny of such psychiatric diseases as depression, anxiety, and eating disorders. In some types of Ewing tumors, this gene is fused to the Ewing sarcoma (EWS) gene following chromosome translocations. [provided by RefSeq, Jul 2008]","Fri Aug 28 13:18:56 2020",-0.000398,0.1873393,-0.24010086,0.22027087,-470.70175879397,603.268492462312,-553.444396984925,"healthyControl_2",-0.000398,"healthy"
"GEN1","protein","ENSG00000178295","This gene encodes a member of the Rad2/xeroderma pigmentosum group G nuclease family, whose members are characterized by N-terminal and internal xeroderma pigmentosum group G nuclease domains followed by helix-hairpin-helix domains and disordered C-terminal domains. The protein encoded by this gene is involved in resolution of Holliday junctions, which are intermediate four-way structures that covalently link DNA during homologous recombination and double-strand break repair. The protein resolves Holliday junctions by creating dual incisions across the junction to produce nicked duplex products that can be ligated. In addition, this protein has been found to localize to centrosomes where it has been implicated in regulation of centrosome integrity. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2016]","Fri Aug 28 13:17:13 2020",8.54e-05,0.4596095,-0.027447224,0.7457323,5381.84426229508,-321.39606557377,8732.22833723653,"healthyControl_2",8.54e-05,"healthy"
"GPR50","protein","ENSG00000102195","This gene product belongs to the G-protein coupled receptor 1 family. Even though this protein shares similarity with the melatonin receptors, it does not bind melatonin, however, it inhibits melatonin receptor 1A function through heterodimerization. Polymorphic variants of this gene have been associated with bipolar affective disorder in women. [provided by RefSeq, Jan 2010]","Fri Aug 28 13:19:02 2020",0.00035,-0.00035,-0.20259428,0.53345156,-1,-578.8408,1524.14731428571,"healthyControl_2",0.00035,"healthy"
