"proteinSearched","gene","EnsemblID","EntrezSummary","GeneCardsSummary","UniProtKB_Summary","todaysDate"
"protein","CABP1","ENSG00000157782","Calcium binding proteins are an important component of calcium mediated cellular signal transduction. This gene encodes a protein that belongs to a subfamily of calcium binding proteins which share similarity to calmodulin. The protein encoded by this gene regulates the gating of voltage-gated calcium ion channels. This protein inhibits calcium-dependent inactivation and supports calcium-dependent facilitation of ion channels containing voltage-dependent L-type calcium channel subunit alpha-1C. This protein also regulates calcium-dependent activity of inositol 1,4,5-triphosphate receptors, P/Q-type voltage-gated calcium channels, and transient receptor potential channel TRPC5. This gene is predominantly expressed in retina and brain. Alternative splicing results in multiple transcript variants encoding disinct isoforms. [provided by RefSeq, Jul 2012]","                                            CABP1 (Calcium Binding Protein 1) is a Protein Coding gene.                                            Diseases associated with CABP1 include Spinal Cord Lymphoma and Tinea Nigra.                                            Among its related pathways are Visual Cycle in Retinal Rods.                                            Gene Ontology (GO) annotations related to this gene include calcium ion binding and protein domain specific binding.                                            An important paralog of this gene is CABP2.","Modulates calcium-dependent activity of inositol 1,4,5-triphosphate receptors (ITPRs)(PubMed:14570872). Inhibits agonist-induced intracellular calcium signaling (PubMed:15980432). Enhances inactivation and does not support calcium-dependent facilitation of voltage-dependent P/Q-type calcium channels (PubMed:11865310). Causes calcium-dependent facilitation and inhibits inactivation of L-type calcium channels by binding to the same sites as calmodulin in the C-terminal domain of CACNA1C, but has an opposite effect on channel function (PubMed:15140941). Suppresses the calcium-dependent inactivation of CACNA1D (By similarity). Inhibits TRPC5 channels (PubMed:15895247). Prevents NMDA receptor-induced cellular degeneration. Required for the normal transfer of light signals through the retina (By similarity).
                         CABP1_HUMAN,Q9NZU7
                         ","Thu Aug 27 08:09:21 2020"
"protein","POU3F2","ENSG00000184486","This gene encodes a member of the POU-III class of neural transcription factors. The encoded protein is involved in neuronal differentiation and enhances the activation of corticotropin-releasing hormone regulated genes. Overexpression of this protein is associated with an increase in the proliferation of melanoma cells. [provided by RefSeq, Mar 2012]","                                            POU3F2 (POU Class 3 Homeobox 2) is a Protein Coding gene.                                            Diseases associated with POU3F2 include Microphthalmia and Rett Syndrome.                                            Among its related pathways are Neuroscience and MECP2 and Associated Rett Syndrome.                                            Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity and identical protein binding.                                            An important paralog of this gene is POU3F3.","Transcription factor that plays a key role in neuronal differentiation (By similarity). Binds preferentially to the recognition sequence which consists of two distinct half-sites, ('GCAT') and ('TAAT'), separated by a non-conserved spacer region of 0, 2, or 3 nucleotides (By similarity). Acts as a transcriptional activator when binding cooperatively with SOX4, SOX11, or SOX12 to gene promoters (By similarity). The combination of three transcription factors, ASCL1, POU3F2/BRN2 and MYT1L, is sufficient to reprogram fibroblasts and other somatic cells into induced neuronal (iN) cells in vitro (By similarity). Acts downstream of ASCL1, accessing chromatin that has been opened by ASCL1, and promotes transcription of neuronal genes (By similarity).
                         PO3F2_HUMAN,P20265
                         ","Thu Aug 27 08:09:22 2020"
"protein","CTXN3","ENSG00000205279","                                            CTXN3 (Cortexin 3) is a Protein Coding gene.                                            Diseases associated with CTXN3 include Autotopagnosia and Clear Cell Adenoma.                                                                                                                                    An important paralog of this gene is CTXN2.","                                            CTXN3 (Cortexin 3) is a Protein Coding gene.                                            Diseases associated with CTXN3 include Autotopagnosia and Clear Cell Adenoma.                                                                                                                                    An important paralog of this gene is CTXN2.","no summary","Thu Aug 27 08:09:23 2020"
"protein","CYP7B1","ENSG00000172817","This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This endoplasmic reticulum membrane protein catalyzes the first reaction in the cholesterol catabolic pathway of extrahepatic tissues, which converts cholesterol to bile acids. This enzyme likely plays a minor role in total bile acid synthesis, but may also be involved in the development of atherosclerosis, neurosteroid metabolism and sex hormone synthesis. Mutations in this gene have been associated with hereditary spastic paraplegia (SPG5 or HSP), an autosomal recessive disorder. [provided by RefSeq, Apr 2016]","                                            CYP7B1 (Cytochrome P450 Family 7 Subfamily B Member 1) is a Protein Coding gene.                                            Diseases associated with CYP7B1 include Spastic Paraplegia 5A, Autosomal Recessive and Bile Acid Synthesis Defect, Congenital, 3.                                            Among its related pathways are Cytochrome P450 - arranged by substrate type and Synthesis of bile acids and bile salts.                                            Gene Ontology (GO) annotations related to this gene include iron ion binding and oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen.                                            An important paralog of this gene is CYP7A1.","A cytochrome P450 monooxygenase involved in the metabolism of endogenous oxysterols and steroid hormones, including neurosteroids (PubMed:10588945, PubMed:24491228). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase) (PubMed:10588945, PubMed:24491228). Catalyzes the hydroxylation of carbon hydrogen bonds of steroids with a preference for 7-alpha position (PubMed:10588945, PubMed:24491228). Usually metabolizes steroids carrying a hydroxy group at position 3, functioning as a 3-hydroxy steroid 7-alpha hydroxylase (PubMed:24491228). Hydroxylates oxysterols, including 25-hydroxycholesterol and (25R)-cholest-5-ene-3beta,26-diol toward 7-alpha hydroxy derivatives, which may be transported to the liver and converted to bile acids (PubMed:9802883, PubMed:10588945). Via its product 7-alpha,25-dihydroxycholesterol, a ligand for the chemotactic G protein-coupled receptor GPR183/EBI2, regulates B cell migration in germinal centers of lymphoid organs, thus guiding efficient maturation of plasma B cells and overall antigen-specific humoral immune response (By similarity). 7-alpha hydroxylates neurosteroids, including 3beta-hydroxyandrost-5-en-17-one (dehydroepiandrosterone) and pregnenolone, both involved in hippocampus-associated memory and learning (PubMed:24491228). Metabolizes androstanoids toward 6- or 7-alpha hydroxy derivatives (PubMed:24491228).
                         CP7B1_HUMAN,O75881
                         ","Thu Aug 27 08:09:24 2020"
"protein","CENPF","ENSG00000117724","This gene encodes a protein that associates with the centromere-kinetochore complex. The protein is a component of the nuclear matrix during the G2 phase of interphase. In late G2 the protein associates with the kinetochore and maintains this association through early anaphase. It localizes to the spindle midzone and the intracellular bridge in late anaphase and telophase, respectively, and is thought to be subsequently degraded. The localization of this protein suggests that it may play a role in chromosome segregation during mitotis. It is thought to form either a homodimer or heterodimer. Autoantibodies against this protein have been found in patients with cancer or graft versus host disease. [provided by RefSeq, Jul 2008]","                                            CENPF (Centromere Protein F) is a Protein Coding gene.                                            Diseases associated with CENPF include Stromme Syndrome and Intestinal Atresia.                                            Among its related pathways are Signaling by GPCR and Mitotic Prometaphase.                                            Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and transcription factor binding.                                            ","Required for kinetochore function and chromosome segregation in mitosis. Required for kinetochore localization of dynein, LIS1, NDE1 and NDEL1. Regulates recycling of the plasma membrane by acting as a link between recycling vesicles and the microtubule network though its association with STX4 and SNAP25. Acts as a potential inhibitor of pocket protein-mediated cellular processes during development by regulating the activity of RB proteins during cell division and proliferation. May play a regulatory or permissive role in the normal embryonic cardiomyocyte cell cycle and in promoting continued mitosis in transformed, abnormally dividing neonatal cardiomyocytes. Interaction with RB directs embryonic stem cells toward a cardiac lineage. Involved in the regulation of DNA synthesis and hence cell cycle progression, via its C-terminus. Has a potential role regulating skeletal myogenesis and in cell differentiation in embryogenesis. Involved in dendritic cell regulation of T-cell immunity against chlamydia.
                         CENPF_HUMAN,P49454
                         ","Thu Aug 27 08:09:25 2020"
"protein","PEX26","ENSG00000215193","This gene belongs to the peroxin-26 gene family. It is probably required for protein import into peroxisomes. It anchors PEX1 and PEX6 to peroxisome membranes, possibly to form heteromeric AAA ATPase complexes required for the import of proteins into peroxisomes. Defects in this gene are the cause of peroxisome biogenesis disorder complementation group 8 (PBD-CG8). PBD refers to a group of peroxisomal disorders arising from a failure of protein import into the peroxisomal membrane or matrix. The PBD group is comprised of four disorders: Zellweger syndrome (ZWS), neonatal adrenoleukodystrophy (NALD), infantile Refsum disease (IRD), and classical rhizomelic chondrodysplasia punctata (RCDP). Alternatively spliced transcript variants have been identified for this gene. [provided by RefSeq, Dec 2010]","                                            PEX26 (Peroxisomal Biogenesis Factor 26) is a Protein Coding gene.                                            Diseases associated with PEX26 include Peroxisome Biogenesis Disorder 7A and Peroxisome Biogenesis Disorder 7B.                                            Among its related pathways are Peroxisome.                                            Gene Ontology (GO) annotations related to this gene include ATPase binding.                                            ","Probably required for protein import into peroxisomes. Anchors PEX1 and PEX6 to peroxisome membranes, possibly to form heteromeric AAA ATPase complexes required for the import of proteins into peroxisomes. Involved in the import of catalase and proteins containing a PTS2 target sequence, but not in import of proteins with a PTS1 target sequence.
                         PEX26_HUMAN,Q7Z412
                         ","Thu Aug 27 08:09:26 2020"
"protein","ISG20","ENSG00000172183","                                            ISG20 (Interferon Stimulated Exonuclease Gene 20) is a Protein Coding gene.                                            Diseases associated with ISG20 include Hepatitis C and Yellow Fever.                                            Among its related pathways are Interferon gamma signaling and Innate Immune System.                                            Gene Ontology (GO) annotations related to this gene include nucleic acid binding and 3'-5'-exoribonuclease activity.                                            An important paralog of this gene is AEN.","                                            ISG20 (Interferon Stimulated Exonuclease Gene 20) is a Protein Coding gene.                                            Diseases associated with ISG20 include Hepatitis C and Yellow Fever.                                            Among its related pathways are Interferon gamma signaling and Innate Immune System.                                            Gene Ontology (GO) annotations related to this gene include nucleic acid binding and 3'-5'-exoribonuclease activity.                                            An important paralog of this gene is AEN.","Interferon-induced antiviral exoribonuclease that acts on single-stranded RNA and also has minor activity towards single-stranded DNA. Exhibits antiviral activity against RNA viruses including hepatitis C virus (HCV), hepatitis A virus (HAV) and yellow fever virus (YFV) in an exonuclease-dependent manner. May also play additional roles in the maturation of snRNAs and rRNAs, and in ribosome biogenesis.
                         ISG20_HUMAN,Q96AZ6
                         ","Thu Aug 27 08:09:27 2020"
"protein","CLEC2L","ENSG00000236279","                                            CLEC2L (C-Type Lectin Domain Family 2 Member L) is a Protein Coding gene.                                                                                                                                    Gene Ontology (GO) annotations related to this gene include carbohydrate binding.                                            An important paralog of this gene is KLRG2.","                                            CLEC2L (C-Type Lectin Domain Family 2 Member L) is a Protein Coding gene.                                                                                                                                    Gene Ontology (GO) annotations related to this gene include carbohydrate binding.                                            An important paralog of this gene is KLRG2.","no summary","Thu Aug 27 08:09:28 2020"
"protein","TMEM194A","ENSG00000166881","                                            NEMP1 (Nuclear Envelope Integral Membrane Protein 1) is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is NEMP2.","                                            NEMP1 (Nuclear Envelope Integral Membrane Protein 1) is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is NEMP2.","no summary","Thu Aug 27 08:09:29 2020"
"protein","PDZRN3","ENSG00000121440","This gene encodes a member of the LNX (Ligand of Numb Protein-X) family of RING-type ubiquitin E3 ligases. This protein may function in vascular morphogenesis and the differentiation of adipocytes, osteoblasts and myoblasts. This protein may be targeted for degradation by the human papilloma virus E6 protein. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2014]","                                            PDZRN3 (PDZ Domain Containing Ring Finger 3) is a Protein Coding gene.                                            Diseases associated with PDZRN3 include Hypotrichosis 8.                                                                                        Gene Ontology (GO) annotations related to this gene include ligase activity and ubiquitin protein ligase activity.                                            An important paralog of this gene is PDZRN4.","E3 ubiquitin-protein ligase. Plays an important role in regulating the surface level of MUSK on myotubes. Mediates the ubiquitination of MUSK, promoting its endocytosis and lysosomal degradation. Might contribute to terminal myogenic differentiation.
                         PZRN3_HUMAN,Q9UPQ7
                         ","Thu Aug 27 08:09:30 2020"
